,No,page,nick,time,content,area,ip,length,against,agree,channel,hot,level,login_type,media_type,mid
0,1,1,放开一切97697,2018-08-28 13:32:22,就是要搞垮你，再让别人来，你不尊重生命，让尊重生命的来,湖北武汉,27.17.139.47,27,1535434342,1,cj,0,2,0,0,5B84DE65-1B118B2F-13B559EFC-917-7E9
1,2,1,zyh专业化550空荡荡,2018-08-27 16:55:34,zyh专业化550空荡荡：事情发生这么多，该想办法，道歉对于被害者来说都是浮云。比方说：参加营运的车辆必须安装报警联动装置，就是每个座位安装乘客报警开关，只要按动，车辆后就显示报警提示，后面车辆行人都看见起威慑作用。同时110第一时间知道车辆在哪里，还可以实时通话，这个按目前技术来说没有一点问题，费用也不会怎么大。真的不想看见再发生这种事情，太可怜了。欢迎安保企业采用，专利费就免了。,浙江嘉兴,122.238.59.61,193,1535360134,3,cj,0,0,0,0,5B83BC87-7AEE3B3D-163526120-917-8F1
2,3,1,95尹天仇,2018-08-27 16:18:52,唉，问题的关键是就算拿皮鞭抽他滴滴公司的CEO几百下，也于事无补,北京,117.136.0.253,32,1535357932,0,cj,0,0,1,0,5B83B3ED-758800FD-168146D03-917-961
3,4,1,用户159****4857,2018-08-27 05:40:06,😡对！！！说到关健点了，看看滴滴用了什么运载工具为乘客服務？車上居然带着利斧、匕首、木棍！谈何文明和进步，是重回森林法则！,上海,180.158.67.105,62,1535319606,0,cj,0,1,2,0,5B831E36-B49E4369-595C88948743619F-917-8BA
4,5,1,用户3898863072,2018-08-27 05:37:47,消灭滴滴人人有责。。,上海,180.158.110.35,10,1535319466,7,cj,0,0,0,0,5B831DAB-B49E6E23-E863EDE0-917-926
5,6,1,用户159****4857,2018-08-27 05:06:54,你的观点真不苟同，郑州空姐和乐清美女会去坐黑车吗？坐出租弗用大，都明白滴滴快捷又便宜！她们怎么也想不到相信崇拜的滴滴送她们进了鬼门关！滴滴司机居然带着利斧、匕首在营运！是刑事案不错，但是滴滴让她们陷入了死亡陷井！,上海,180.158.67.105,106,1535317614,0,cj,0,1,2,0,5B83166E-B49E4369-595C88948743619F-917-953
6,7,1,用户159****4857,2018-08-27 04:31:59,滴滴让老百姓享受到了其它交通工具给不了的舒适快捷沒错，但是你发现没有郑州空姐和乐清美女是被利斧和匕首杀害的！如果滴滴平台不能杜绝这种私家車混在大部队里，老百姓能安心享受好的服务？🙏,上海,180.158.67.105,91,1535315519,0,cj,0,1,2,0,5B830E3F-B49E4369-595C88948743619F-917-82C
7,8,1,用户3898863072,2018-08-27 02:53:10,恶魔滴滴，嗜血滴滴，恐怖滴滴，去死吧,上海,180.158.110.35,18,1535309590,5,cj,0,0,0,0,5B82F716-B49E6E23-E863EDE0-917-8D3
8,9,1,zhiyuan1887,2018-08-27 00:52:25,这个女乘客也傻啊，竟然取消订单还上车。她不取消订单，滴滴软件上就有紧急报警按钮，滴滴公司可以实时知道车的位置。取消订单，这些功能都没有了。滴滴还以为你没有上车。 她的闺蜜也是2B。2点15分说都救命，抢救了，3点才联系上她电话。聪明都明白应该马上电话，联系不上，马上报警了。,广东惠州,183.31.25.245,137,1535302345,0,cj,0,1,0,0,5B82DAC8-B71F19F5-15217E5AB-917-955
9,10,1,kls147,2018-08-27 00:40:03,机器人来的,广东东莞,223.74.163.75,5,1535301603,4,cj,0,1,0,0,5B82D7E3-DF4AA34B-4A43A742-917-9B0
10,11,1,kls147,2018-08-27 00:37:28,你这算逻辑吗.垃圾,广东东莞,223.74.163.75,9,1535301448,2,cj,0,4,0,0,5B82D747-DF4AA34B-4A43A742-917-8F3
11,12,1,kls147,2018-08-27 00:32:47,2千万对滴滴来说还不是个小数目!两三个小时的收入..这不是9牛一毛..是900牛一条毛,广东东莞,223.74.163.75,43,1535301167,0,cj,0,1,0,0,5B82D62E-DF4AA34B-4A43A742-917-8E6
12,13,1,kls147,2018-08-27 00:30:11,你眼盲还是根本不看?她的朋友早就报警了.是民警亲自用她朋友的电话和滴滴各服要司机资料的.是滴滴公司一拖再拖说要公安出示证明拖了那么久的...,广东东莞,223.74.163.75,70,1535301011,3,cj,0,1,0,0,5B82D592-DF4AA34B-4A43A742-917-882
