,No,page,nick,time,content,area,ip,length,against,agree,channel,hot,level,login_type,media_type,mid
0,1,1,旗鼓惊东强,2018-08-31 16:00:05,故伎重演的很真实？,甘肃嘉峪关,42.93.252.191,9,1535702405,0,jc,0,0,0,0,5B88F583-2A5DFCBF-13CCA64B4-8F9-8A4
1,2,1,用户6105250918,2018-08-31 15:49:50,帮他们拖回去，实在不行，作为靶船炸了，赔他们几百块,浙江绍兴,220.189.227.186,25,1535701790,0,jc,0,0,0,0,5B88F31E-DCBDE3BA-16BE6BC66-8F9-834
2,3,1,网际刀客,2018-08-31 15:41:42,立刻派出以辽宁舰为首的航母编队携天鲸号挖泥船为首的造岛工程机械前往事发海域实施人道主义紧急救援行动。,河南许昌,222.89.165.152,50,1535701302,13,jc,0,0,0,0,5B88F136-DE59A598-A23B4A6F-8F9-8F1
3,4,1,天涯倦客,2018-08-31 15:39:06,哈哈，故伎重演！,山东青岛,123.234.40.218,8,1535701146,6,jc,0,0,0,0,5B88F099-7BEA28DA-56C6650F-8F9-88A
4,5,1,可爱东海大侠,2018-08-31 15:38:24,故技重演，要防止又一次坐滩，耐着不走。应迅速派军舰过去帮忙，或者派拖船过去，免费帮他拖回港口。,浙江台州,122.226.183.81,47,1535701104,12,jc,0,0,0,0,5B88F070-7AE2B751-537942A1-8F9-904
5,6,1,韩工hn,2018-08-31 15:37:14,不会是又来一套吧,浙江嘉兴,122.225.48.130,8,1535701034,0,jc,0,0,0,0,5B88F02A-7AE13082-539CC031-8F9-81E
6,7,1,美帝是纸老虎1,2018-08-31 15:36:33,限期三天拖走，不拖走直接炸沉！,湖北襄阳,121.63.163.50,15,1535700993,0,jc,0,0,0,0,5B88F000-793FA332-4D34ABE0-8F9-94E
7,8,1,快乐三步曲,2018-08-31 15:36:04,拖啥拖，直接炸了,江西,117.136.60.215,8,1535700964,0,jc,0,0,0,0,5B88EFE4-75883CD7-B8B2491E-8F9-887
8,9,1,用户5528493761,2018-08-31 15:35:24,既然进入了我们的领海怎么能让它拿回去，派拖船拖回来没收了！,浙江杭州,36.23.214.244,29,1535700924,13,jc,0,0,0,0,5B88EFBC-2417D6F4-149861EC1-8F9-8F9
9,10,1,用户6489269322,2018-08-31 15:34:32,故技重演，中国应与 菲律宾沟通，叫菲律宾把船拉回去，如不然，中国应派军舰帮忙菲律宾把这破船送回菲律宾。,上海,116.228.178.66,51,1535700872,11,jc,0,0,0,0,5B88EF88-74E4B242-182CA644A-8F9-9A3
10,11,1,爱卿啊寡人有槽要吐,2018-08-31 15:32:57,又要坐滩了,上海,203.156.222.32,5,1535700777,10,jc,0,0,0,0,5B88EF29-CB9CDE20-618902D6-8F9-8F6
11,12,1,一粒阳光一粒米儿,2018-08-31 15:32:51,又来碰瓷啊，是不是有想做滩不走了，真是那样我当破烂给收了,山东东营,221.2.241.209,28,1535700771,0,jc,0,0,0,0,5B88EF23-DD02F1D1-176B92173-8F9-80C
12,13,1,尚关涛,2018-08-31 15:30:35,一艘舰，换一座岛礁，值了,河北廊坊,124.238.220.111,12,1535700635,3,jc,0,0,0,0,5B88EE9B-7CEEDC6F-4C1F46DD-8F9-8F6
13,14,1,Chinlao,2018-08-31 15:30:20,中国也不妨弄几条破舰去“搁浅”,湖南湘西土家族苗族自治州,111.8.191.239,15,1535700620,3,jc,0,0,0,0,5B88EE8B-6F08BFEF-451C391C-8F9-87F
14,15,1,念兮wl,2018-08-31 15:29:19,但愿不要像仁爱礁那搜破船换一样,浙江宁波,36.22.54.218,15,1535700559,0,jc,0,0,0,0,5B88EE4E-241636DA-150357808-8F9-97E
15,16,1,白晕鹤,2018-08-31 15:29:17,派拖船救援,湖北武汉,119.97.240.247,5,1535700556,1,jc,0,0,0,0,5B88EE4B-7761F0F7-69CF5A44-8F9-87D
16,17,1,随行,2018-08-31 15:28:50,问题是怎么会靠的那么近？在我们宣称固有领土的12海之内还是之外？搁浅了，那一定是之内咯，这好像有点太友好了吧？况，仁爱礁坐滩的那艘破船还没有拖走，呵呵，有点接受不了了！,上海,114.92.168.85,84,1535700530,3,jc,0,0,4,0,5B88EE32-725CA855-594E0DE13C437AD5-8F9-8F9
17,18,1,尚关涛,2018-08-31 15:28:38,故技重演,河北廊坊,124.238.220.111,4,1535700518,1,jc,0,0,0,0,5B88EE25-7CEEDC6F-4C1F46DD-8F9-8DA
18,19,1,有为青年放飞梦想-53719,2018-08-31 15:28:04,不会是又不走了吧,北京,123.122.204.57,8,1535700484,0,jc,0,0,0,0,5B88EE04-7B7ACC39-140A57142-8F9-94B
19,20,1,无相于心,2018-08-31 15:27:48,就看解放军敢不敢把他们的船拖走了，可以发扬爱国主义精神帮他们免费修船啊,河南,117.136.104.137,35,1535700468,2,jc,0,0,0,0,5B88EDF4-75886889-183EF2638-8F9-9A7
20,21,2,dnhjjss,2018-08-31 15:27:11,我们要求当局出于人道主义立即派遣救援船只前往救援。。。,上海,101.90.127.226,27,1535700431,0,jc,0,0,0,0,5B88EDCF-655A7FE2-159F116F9-8F9-88D
21,22,2,仁术度人,2018-08-31 15:26:44,脱离！警惕故伎重演！,四川德阳,125.68.87.242,10,1535700404,0,jc,0,0,0,0,5B88EDB3-7D4457F2-6503DAB9-8F9-926
22,23,2,幸运的weixingbj,2018-08-31 15:25:54,把两条破船一起拖走！,北京,106.2.227.47,10,1535700354,0,jc,0,0,0,0,5B88ED81-6A02E32F-56C8564E-8F9-9C9
23,24,2,太阳城来特使,2018-08-31 15:25:48,"中国应该派船去将其拖走,以防前车之鉴.",湖北宜昌,219.139.44.253,19,1535700348,0,jc,0,0,0,0,5B88ED7B-DB8B2CFD-4024A688-8F9-AF6
24,25,2,y爱心老兵,2018-08-31 15:24:56,搁浅已经 不是第一次了 警惕,河南洛阳,1.193.144.159,14,1535700295,0,jc,0,0,0,0,5B88ED47-1C1909F-99823B85-8F9-92A
