,Unnamed: 0,No,page,nick,time,content,area,ip,length,against,agree,channel,hot,level,login_type,media_type,mid,stamp,time_ymd,time_mdh,cmntcount
0,0,1,1,这辈子不会放过西西,2018-08-22 00:25:56,打从心底瞧不起 这比抵制还不如！沒文化唄,福建厦门,110.87.109.240,29,1534868756,0,cj,0,3,0,0,5B7C3D11-6E576DF0-16B2193F6-901-92E,1534868756,2018-08-22,08-22 00,166
1,1,2,1,双面H,2018-08-21 17:01:42,回复 @半月kodachi:hhhhhhhh,湖北武汉,59.71.151.149,22,1534842102,0,cj,0,8,0,0,5B7BD4F4-3B479795-48A9D835-901-868,1534842102,2018-08-21,08-21 17,165
2,2,3,1,塞上陶然哥,2018-08-21 15:28:47,抵制了吗？用脑还是用脚想的？,宁夏银川,1.50.100.54,27,1534836527,0,cj,0,2,0,0,5B7BBF2E-1326436-1384F245E-901-834,1534836527,2018-08-21,08-21 15,164
3,3,4,1,半月kodachi,2018-08-21 14:20:25,幼稚。,广东广州,117.136.41.50,10,1534832425,0,cj,0,7,0,0,5B7BAF26-75882932-9E76B555-901-904,1534832425,2018-08-21,08-21 14,163
4,4,5,1,这辈子不会放过西西,2018-08-21 13:00:27,反正全世界抵制中国产品 你骄傲啥？,台湾台中,59.120.86.168,26,1534827627,0,cj,0,1,0,0,5B7B9C6B-3B7856A8-16B2193F6-901-92E,1534827627,2018-08-21,08-21 13,162
5,5,6,1,这辈子不会放过西西,2018-08-21 12:58:52,沒必要！ 分化的那么严重 还说咱两一国？难怪各国等看戏,台湾台中,59.120.86.168,27,1534827532,0,cj,0,0,0,0,5B7B9C0C-3B7856A8-16B2193F6-901-92E,1534827532,2018-08-21,08-21 12,161
6,6,7,1,双面H,2018-08-21 10:57:23,回复 @半月kodachi:你这算是自言自语吧，对自己认识得挺清楚。,湖北武汉,218.199.43.197,34,1534820243,0,cj,0,6,0,0,5B7B7F8F-DAC72BC5-48A9D835-901-868,1534820243,2018-08-21,08-21 10,160
7,7,8,1,半月kodachi,2018-08-21 10:46:42,没人在乎你，即使你假装自己和别人不一样。但是你年轻，思想不成型。幼稚。,广东广州,117.136.41.50,42,1534819601,0,cj,0,5,0,0,5B7B7D0E-75882932-9E76B555-901-904,1534819602,2018-08-21,08-21 10,159
8,8,9,1,半月kodachi,2018-08-21 10:40:05,饿,广东广州,117.136.41.50,8,1534819205,0,cj,0,5,0,0,5B7B7B85-75882932-9E76B555-901-904,1534819205,2018-08-21,08-21 10,158
9,9,10,1,双面H,2018-08-20 21:25:56,回复 @半月kodachi:那你蹦跶出来文不对题是干嘛？智商水平所致？那倒是说得通。,湖北武汉,218.199.43.197,42,1534771556,0,cj,0,4,0,0,5B7AC164-DAC72BC5-48A9D835-901-868,1534771556,2018-08-20,08-20 21,157
10,10,11,1,半月kodachi,2018-08-20 19:58:08,我不需要存在感。幼稚,广东,223.104.63.90,17,1534766288,0,cj,0,3,0,0,5B7AACD0-DF683F5A-9E76B555-901-904,1534766288,2018-08-20,08-20 19,156
11,11,12,1,萝卜屌丝666,2018-08-19 16:51:36,活该！我是不会再去买一分钱东西！,乌干达,62.56.251.124,16,1534668696,2,cj,0,0,0,0,5B792F93-3E38FB7C-14CC98B86-901-7B8,1534668696,2018-08-19,08-19 16,155
